Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Warranty Type,Price,EPACity,EPAHighway,Modified,Internet Specials,Sold,Locked,Dealer Certified,Manufacturer Cert.,Home Page Special,KBB Valuation Needs Verification,Rooftop,Type,MSRP,Days in Stock,Photos
195437,Cadillac,Escalade ESV,Premium Luxury Platinum 4WD,2021,Gas V8 6.2L/376,Automatic,Crystal White Tricoat,69749,1GYS4MKL3MR195437,6.2L V8 Engine|10-Speed Automatic Transmission|Four-Wheel Drive|Leather Seating|Heated and Ventilated Front Seats|Heated Rear Seats|Power Adjustable Seats|Massaging Front Seats|Tri-Zone Climate Control|Navigation System|OLED Display|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium AKG Audio System|USB Ports|Wireless Charging|Surround Vision Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|22-inch Alloy Wheels|Electronic Parking Brake,AS-IS,14,19,68995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,69995,520,31,
388870,Cadillac,Escalade ESV,Sport Platinum 4WD,2023,Gas V8 6.2L/375,Automatic,Black Raven,31401,1GYS4RKL5PR388870,6.2L V8 Engine|10-Speed Automatic Transmission|Four-Wheel Drive|Leather Seating|Heated and Ventilated Front Seats|Heated Rear Seats|Power Adjustable Seats|Massaging Front Seats|Tri-Zone Climate Control|Navigation System|OLED Display|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium AKG Audio System|USB Ports|Wireless Charging|Surround Vision Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|22-inch Alloy Wheels|Electronic Parking Brake,Manufacturer Warranty,14,18,95995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,96995,195,35,
266257,Cadillac,Escalade,Sport Platinum,2021,Gas V8 6.2L/376,Automatic,Crystal White Tricoat,43648,1GYS4GKL4MR266257,6.2L V8 Engine|10-Speed Automatic Transmission|Four-Wheel Drive|Leather Seating|Heated and Ventilated Front Seats|Heated Rear Seats|Power Adjustable Seats|Massaging Front Seats|Tri-Zone Climate Control|Navigation System|OLED Display|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium AKG Audio System|USB Ports|Wireless Charging|Surround Vision Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|22-inch Alloy Wheels|Electronic Parking Brake,AS-IS,14,19,76995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,77995,117,35,
112576,Cadillac,XT6,Premium Luxury,2025,Gas V6 3.6L/222,Automatic,Crystal White Tricoat,12292,1GYKPCRS4SZ112576,3.6L V6 Engine|9-Speed Automatic Transmission|Front-Wheel Drive|Leather Seating|Heated Front Seats|Ventilated Front Seats|Power Driver Seat|Power Passenger Seat|Memory Driver Seat|Tri-Zone Climate Control|Navigation System|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium Audio System|USB Ports|Wireless Charging|Rearview Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|20-inch Alloy Wheels|Electronic Parking Brake,Manufacturer Warranty,19,26,54995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,56995,84,34,
111702,Cadillac,CT5,Premium Luxury,2021,Turbocharged Gas I4 2.0L/,Automatic,Black Raven,49143,1G6DN5RK8M0111702,2.0L Turbocharged I4 Engine|10-Speed Automatic Transmission|Rear-Wheel Drive|Leather Seating|Heated Front Seats|Ventilated Front Seats|Power Driver Seat|Power Passenger Seat|Memory Driver Seat|Dual-Zone Climate Control|Navigation System|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium Audio System|USB Ports|Wireless Charging|Rearview Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|LED Headlights|18-inch Alloy Wheels|Electronic Parking Brake,AS-IS,23,32,32995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,34995,70,20,
612857,Cadillac,SRX,Luxury Collection,2010,Gas V6 3.0L/183,Automatic,Black Raven,112388,3GYFNAEY1AS612857,3.0L V6 Engine|6-Speed Automatic Transmission|Front-Wheel Drive|Leather Seating|Heated Front Seats|Power Driver Seat|Power Passenger Seat|Dual-Zone Climate Control|Navigation System|Bluetooth Connectivity|Premium Audio System|USB Ports|Rearview Camera|Parking Sensors|Blind Spot Monitoring|Keyless Entry|Push Button Start|Power Liftgate|Panoramic Sunroof|LED Headlights|18-inch Alloy Wheels|Wood Interior Trim|Auto-Dimming Mirrors|Electronic Stability Control|Tire Pressure Monitoring System|Cruise Control|Fog Lights|Rear Window Defogger|Split Folding Rear Seats|Electronic Parking Brake,AS-IS,18,25,12995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,13995,69,20,
113631,Cadillac,Escalade,Luxury,2017,Gas V8 6.2L/376,Automatic,Black Raven,100263,1GYS4BKJ6HR113631,6.2L V8 Engine|8-Speed Automatic Transmission|Four-Wheel Drive|Leather Seating|Heated and Ventilated Front Seats|Heated Rear Seats|Power Adjustable Seats|Tri-Zone Climate Control|Navigation System|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium Audio System|USB Ports|Wireless Charging|Rearview Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|22-inch Alloy Wheels|Electronic Parking Brake,AS-IS,15,20,30995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,32995,69,20,
156809,Cadillac,XT6,AWD Premium Luxury,2023,Gas V6 3.6L/222,Automatic,Radiant Red Tintcoat,41443,1GYKPFRS0PZ156809,3.6L V6 Engine|9-Speed Automatic Transmission|All-Wheel Drive|Leather Seating|Heated Front Seats|Ventilated Front Seats|Power Driver Seat|Power Passenger Seat|Memory Driver Seat|Tri-Zone Climate Control|Navigation System|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium Audio System|USB Ports|Wireless Charging|Rearview Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|20-inch Alloy Wheels|Electronic Parking Brake,Manufacturer Warranty,18,25,48995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,49995,63,20,
108685,Cadillac,Escalade,4WD Sport Platinum,2025,Gas V8 6.2L/375,Automatic,Black Raven,22194,1GYS9GRL8SR108685,6.2L V8 Engine|10-Speed Automatic Transmission|Four-Wheel Drive|Leather Seating|Heated and Ventilated Front Seats|Heated Rear Seats|Power Adjustable Seats|Massaging Front Seats|Tri-Zone Climate Control|Navigation System|OLED Display|Bluetooth Connectivity|Apple CarPlay|Android Auto|Premium AKG Audio System|USB Ports|Wireless Charging|Surround Vision Camera|Front and Rear Parking Sensors|Blind Spot Monitoring|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Adaptive Cruise Control|Keyless Entry|Push Button Start|Power Liftgate|LED Headlights|22-inch Alloy Wheels|Electronic Parking Brake,Manufacturer Warranty,14,18,118995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,120995,56,30,
314499,Cadillac,Escalade,Sport Platinum,2021,Gas V8 6.2L/376,Automatic,Infrared Tintcoat,71507,1GYS4GKL6MR314499,6.2L V8 engine|10-speed automatic transmission|Magnetic Ride Control|Adaptive Air Ride Suspension|Full-time 4WD|22-inch alloy wheels|LED headlamps|LED taillamps|Hands-free power liftgate|Panoramic UltraView sunroof|Heated front seats|Ventilated front seats|Heated second-row seats|Power-folding third-row|Semi-Aniline leather|AKG 36-speaker audio|OLED curved display|Navigation system|Wireless CarPlay|Wireless Android Auto|Wireless charging|Head-Up Display|Surround Vision camera|Rear Camera Mirror|Adaptive Cruise Control|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|HD Rear Entertainment|Tri-zone climate control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings,AS-IS,14,19,68995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,69995,54,25,
603010,Cadillac,XLR-V,,2006,Gas V8 4.4L/267,Automatic,Black Raven,53928,1G6YX36D265603010,4.4L Supercharged V8|6-speed automatic|Rear-wheel drive|Magnetic Ride Control|Performance suspension|18-inch alloy wheels|Adaptive HID headlamps|Power retractable hardtop|Leather seating surfaces|Heated seats|Dual-zone climate control|Navigation system|Premium Bose audio|Bluetooth connectivity|Head-Up Display|Cruise control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Front and rear park assist|Traction control|Stability control|ABS brakes|Airbags|Tire pressure monitoring|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors|Tilt steering|AM/FM/CD player,AS-IS,15,23,38995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,39995,44,25,
223994,Cadillac,XT5,Luxury FWD,2020,Turbocharged Gas I4 2.0L/,Automatic,Red Horizon Tintcoat,59168,1GYKNAR40LZ223994,2.0L Turbocharged I4|9-speed automatic|Front-wheel drive|18-inch alloy wheels|LED headlamps|LED daytime running lights|Power liftgate|Leather seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,21,28,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,34,20,
519039,Cadillac,SRX,Premium Collection,2015,Gas V6 3.6L/217,Automatic,Platinum Ice Tricoat,109075,3GYFNDE3XFS519039,3.6L V6 engine|6-speed automatic|Front-wheel drive|20-inch alloy wheels|Adaptive HID headlamps|LED daytime running lights|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Heated rear seats|Dual-zone climate control|Navigation system|Bose premium audio|Bluetooth connectivity|Apple CarPlay|Android Auto|Rear Vision Camera|Lane Departure Warning|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,17,24,0,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,0,15,25,
369928,Cadillac,Escalade,4WD Sport,2023,Gas V8 6.2L/375,Automatic,Black Raven,33374,1GYS4FKL5PR369928,6.2L V8 engine|10-speed automatic|Magnetic Ride Control|Adaptive Air Ride Suspension|Full-time 4WD|22-inch alloy wheels|LED headlamps|LED taillamps|Hands-free power liftgate|Panoramic UltraView sunroof|Heated front seats|Ventilated front seats|Heated second-row seats|Power-folding third-row|Leather seating surfaces|AKG premium audio|OLED curved display|Navigation system|Wireless CarPlay|Wireless Android Auto|Wireless charging|Head-Up Display|Surround Vision camera|Rear Camera Mirror|Adaptive Cruise Control|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Tri-zone climate control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings,BOF,14,18,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,25,
100117,Cadillac,CT5,Premium Luxury,2020,Turbocharged Gas I4 2.0L/,Automatic,Satin Steel Metallic,47858,1G6DN5RKXL0100117,2.0L Turbocharged I4|10-speed automatic|Rear-wheel drive|18-inch alloy wheels|LED headlamps|LED taillamps|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,23,32,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,20,
252541,Cadillac,Escalade,4WD Sport,2023,Gas V8 6.2L/375,Automatic,Black Raven,46664,1GYS4FKLXPR252541,6.2L V8 engine|10-speed automatic|Magnetic Ride Control|Adaptive Air Ride Suspension|Full-time 4WD|22-inch alloy wheels|LED headlamps|LED taillamps|Hands-free power liftgate|Panoramic UltraView sunroof|Heated front seats|Ventilated front seats|Heated second-row seats|Power-folding third-row|Leather seating surfaces|AKG premium audio|OLED curved display|Navigation system|Wireless CarPlay|Wireless Android Auto|Wireless charging|Head-Up Display|Surround Vision camera|Rear Camera Mirror|Adaptive Cruise Control|Lane Keep Assist|Forward Collision Alert|Automatic Emergency Braking|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Tri-zone climate control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings,BOF,14,18,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,30,
103094,Chevrolet,Corvette,Stingray W/3LT,2023,Gas V8 6.2L/,Automatic,Silver Flare Metallic,1264,1G1YC3D42P5103094,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power retractable roof|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,24,0,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,0,8,25,
109407,Chevrolet,Corvette,Stingray Convertible 2LT,2023,Gas V8 6.2L/,Automatic,Arctic White,8640,1G1YB3D41P5109407,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power convertible top|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,24,85000,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,80995,778,25,
723294,Chevrolet,Silverado 2500HD,LT Z71 4WD,2023,Turbocharged Diesel V8 6.6L/403,Automatic,Silver Ice Metallic,17406,2GC4YNEY1P1723294,6.6L Duramax Turbo-Diesel V8|10-speed automatic|4WD|Z71 Off-Road Package|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,0,0,0,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,0,693,34,
102164,Chevrolet,Silverado 1500,Custom Trail Boss 4WD,2024,Turbocharged Gas I4 2.7L/166,Automatic,Black,11455,3GCPDCEK2RG102164,2.7L Turbocharged I4|8-speed automatic|4WD|Custom Trail Boss Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|18-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,17,50995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,53995,260,29,
113564,Chevrolet,Corvette,Stingray 2LT Convertible,2022,Gas V8 6.2L/,Automatic,Arctic White,4245,1G1YB3D48N5113564,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power convertible top|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,24,78995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,80995,243,22,
129850,Chevrolet,Silverado 1500,LTZ 4WD Crew Cab,2025,Turbocharged Diesel I6 3.0L/183,Automatic,Black,4653,1GCUKGE88SZ129850,3.0L Duramax Turbo-Diesel I6|10-speed automatic|4WD|LTZ Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,22,25,58995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,60995,239,36,
234582,Chevrolet,Silverado 2500HD,High Country 4WD,2024,Turbocharged Diesel V8 6.6L/,Automatic,Sterling Gray Metallic,15712,2GC4YREY1R1234582,6.6L Duramax Turbo-Diesel V8|10-speed automatic|4WD|High Country Package|Z71 Off-Road Suspension|Skid plates|Hill descent control|20-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Spray-on bedliner|Leather seating surfaces|Heated front seats|Ventilated front seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,0,0,78995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,79995,236,33,
139730,Chevrolet,Colorado,LT 2WD,2021,Gas V6 3.6L/,Automatic,Summit White,139730,1GCGSCEN8M1139730,3.6L V6 engine|8-speed automatic|2WD|LT Package|Off-road suspension|17-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,18,25,20995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,21995,112,25,
295221,Chevrolet,Colorado,LT 2WD,2021,Gas V6 3.6L/,Automatic,Summit White,48529,1GCGSCENXM1295221,3.6L V6 engine|8-speed automatic|2WD|LT Package|Off-road suspension|17-inch alloy wheels|LED headlamps|LED taillamps|Power tailgate|Cloth seating surfaces|Heated front seats|Dual-zone climate control|Navigation system|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,18,25,26995,Yes,No,Yes,Yes,No,No,No,No,Parker's Used Cars,Used,27995,112,26,
214441,Chevrolet,Tahoe,Premier 4WD,2020,Gas/Ethanol V8 5.3L/325,Automatic,Satin Steel Metallic,107269,1GNSKCKC9LR214441,5.3L V8 engine|6-speed automatic|4WD|Premier Package|Off-road suspension|20-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Heated second-row seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Bluetooth connectivity|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,AS-IS,15,21,40995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,41995,110,28,
157592,Chevrolet,Tahoe,High Country 4WD,2022,Gas V8 6.2L/,Automatic,Summit White,57799,1GNSKTKL3NR157592,6.2L V8 engine|10-speed automatic|4WD|High Country Package|Off-road suspension|22-inch alloy wheels|LED headlamps|LED taillamps|Power liftgate|Leather seating surfaces|Heated front seats|Ventilated front seats|Heated second-row seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,14,19,58995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,59995,104,34,
105422,Chevrolet,Corvette,Stingray Convertible w/3LT,2024,Gas V8 6.2L/,Automatic,Riptide Blue Metallic,1173,1G1YC3D4XR5105422,6.2L V8 engine|8-speed dual-clutch automatic|Rear-wheel drive|Performance suspension|19-inch front/20-inch rear alloy wheels|LED headlamps|LED taillamps|Power convertible top|Leather seating surfaces|Heated seats|Ventilated seats|Dual-zone climate control|Navigation system|Bose premium audio|Apple CarPlay|Android Auto|Wireless charging|Rear Vision Camera|Front Park Assist|Rear Park Assist|Blind Zone Alert|Rear Cross Traffic Alert|Adaptive Cruise Control|Keyless entry|Push-button start|Remote start|Rain-sensing wipers|Power tilt/telescoping steering|Driver memory settings|Auto-dimming mirrors|Power windows|Power door locks|Power mirrors,BOF,16,25,88995,Yes,No,No,Yes,No,No,No,No,Parker's Used Cars,Used,89995,97,22,
