Stock_No,Make,Model,Trim,Year,Eng,Trans,Color,Mileage,VIN,Options,Days in Stock,Cert.,Photos,Warranty Type
113631,Cadillac,Escalade,Luxury,2017,Gas V8 6.2L/376,Automatic,Black,"100,263",1GYS4BKJ6HR113631,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,56,No,Yes,AS-IS
122736,Cadillac,XT5,Premium Luxury FWD,2018,Gas V6 3.6L/222.6,Automatic,Silver,"91,637",1GYKNERS6JZ122736,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,37,No,Yes,AS-IS
156809,Cadillac,XT6,AWD Premium Luxury,2023,Gas V6 3.6L/222,Automatic,Red,"41,443",1GYKPFRS0PZ156809,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,50,No,Yes,BOF
195437,Cadillac,Escalade ESV,Premium Luxury Platinum 4WD,2021,Gas V8 6.2L/376,Automatic,White,"69,749",1GYS4MKL3MR195437,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,507,No,Yes,BOF
223994,Cadillac,XT5,Luxury FWD,2020,Turbocharged Gas I4 2.0L/,Automatic,Red,"59,168",1GYKNAR40LZ223994,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,21,No,Yes,BOF
266257,Cadillac,Escalade,Sport Platinum,2021,Gas V8 6.2L/376,Automatic,White,"43,648",1GYS4GKL4MR266257,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,104,No,Yes,BOF
314499,Cadillac,Escalade,Sport Platinum,2021,Gas V8 6.2L/376,Automatic,Red,"71,507",1GYS4GKL6MR314499,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,41,No,Yes,AS-IS
388870,Cadillac,Escalade ESV,Sport Platinum 4WD,2023,Gas V8 6.2L/375,Automatic,Black,"31,401",1GYS4RKL5PR388870,Power door locks|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,182,No,Yes,BOF
519039,Cadillac,SRX,Premium Collection,2015,Gas V6 3.6L/217,Automatic,Silver,0,3GYFNDE3XFS519039,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,AS-IS
603010,Cadillac,XLR-V,,2006,Gas V8 4.4L/267,Automatic,Black,"53,928",1G6YX36D265603010,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,31,No,Yes,AS-IS
612857,Cadillac,SRX,Luxury Collection,2010,Gas V6 3.0L/183,Automatic,Black,"112,388",3GYFNAEY1AS612857,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Tire pressure monitoring system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,56,No,Yes,AS-IS
102164,Chevrolet,Silverado 1500,Custom Trail Boss 4WD,2024,Turbocharged Gas I4 2.7L/166,Automatic,Black,"11,455",3GCPDCEK2RG102164,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,247,No,Yes,BOF
105422,Chevrolet,Corvette,Stingray Convertible w/3LT,2024,Gas V8 6.2L/,Automatic,Blue,"1,173",1G1YC3D4XR5105422,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,84,No,Yes,BOF
107572,Chevrolet,Silverado 2500HD,Z71,2026,Gas V8 6.6L/,Automatic,White,503,1GC5KME7XTF107572,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,37,No,Yes,BOF
109407,Chevrolet,Corvette,Stingray Convertible 2LT,2023,Gas V8 6.2L/,Automatic,White,"8,640",1G1YB3D41P5109407,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,765,No,Yes,BOF
113469,Chevrolet,SSR,LS,2004,Gas V8 5.3L/325,Automatic,Red,0,1GCES14P24B113469,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,57,No,Yes,AS-IS
113564,Chevrolet,Corvette,Stingray 2LT Convertible,2022,Gas V8 6.2L/,Automatic,White,"4,245",1G1YB3D48N5113564,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,230,No,Yes,BOF
119185,Chevrolet,Corvette,2LT,2023,Gas V8 6.2L/,Automatic,Red,"6,739",1G1YB2D41P5119185,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,21,No,Yes,BOF
121585,Chevrolet,Camaro Police Pkg,SS (35TH ANNIVERSARY),2002,Gas V8 5.7L/346,Automatic,Red,0,2G1FP22G222121585,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,31,No,Yes,AS-IS
126433,Chevrolet,Silverado 3500HD,High Country 4WD Crew Cab DRW,2025,Turbocharged Diesel V8 6.6L/,Automatic,White,"9,126",1GC4KVEY2SF126433,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,62,No,Yes,BOF
127246,Chevrolet,Camaro,2LT,2022,Gas V6 3.6L/222,Manual,Blue,"50,443",1G1FC3DS9N0127246,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,15,No,Yes,BOF
129850,Chevrolet,Silverado 1500,LTZ 4WD Crew Cab,2025,Turbocharged Diesel I6 3.0L/183,Automatic,Black,"4,653",1GCUKGE88SZ129850,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,226,No,Yes,BOF
139730,Chevrolet,Colorado,LT 2WD,2021,Gas V6 3.6L/,Automatic,White,"139,730",1GCGSCEN8M1139730,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,99,No,Yes,AS-IS
141670,Chevrolet,Malibu,LT,2024,Turbocharged Gas I4 1.5L/,Automatic,Gray,"63,974",1G1ZD5ST9RF141670,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,52,No,Yes,AS-IS
149113,Chevrolet,Silverado 2500HD,LTZ,2025,Turbocharged Diesel V8 6.6L/,Automatic,White,"17,383",2GC4KPEY7S1149113,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,41,No,Yes,BOF
149507,Chevrolet,Silverado 2500HD,LS,2003,Turbo-Charged Diesel V8 6.6L/402,Automatic,White,"229,238",1GCHK29143E149507,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors|Electronic engine immobilizer,35,No,Yes,AS-IS
151714,Chevrolet,Tahoe,LT,2020,Gas/Ethanol V8 5.3L/325,Automatic,Black,"115,826",1GNSCBKCXLR151714,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,56,No,Yes,AS-IS
157592,Chevrolet,Tahoe,High Country 4WD,2022,Gas V8 6.2L/,Automatic,White,"57,799",1GNSKTKL3NR157592,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,91,No,Yes,BOF
192129,Chevrolet,Equinox,LT,2023,Turbocharged Gas I4 1.5L/87,Automatic,White,0,3GNAXTEG7PS192129,Power door locks|Power windows|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,2,No,Yes,BOF
214441,Chevrolet,Tahoe,Premier 4WD,2020,Gas/Ethanol V8 5.3L/325,Automatic,Gray,"107,269",1GNSKCKC9LR214441,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,97,No,Yes,AS-IS
234419,Chevrolet,Avalanche,LTZ,2007,Gas/Ethanol V8 5.3L/325,Automatic,White,"214,347",3GNFK12317G234419,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Power sliding sunroof|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage|Illuminated visor vanity mirrors,35,No,Yes,AS-IS
234582,Chevrolet,Silverado 2500HD,High Country 4WD,2024,Turbocharged Diesel V8 6.6L/,Automatic,Gray,"15,712",2GC4YREY1R1234582,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,223,No,Yes,BOF
246216,Chevrolet,Silverado 1500,LT,2023,Gas V8 5.3L/325,Automatic,Gray,"33,138",1GCRDDED6PZ246216,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,21,No,Yes,BOF
250386,Chevrolet,Silverado 1500,Z71,2018,Gas V8 5.3L/325,Automatic,Blue,0,3GCUKREC2JG250386,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display,52,No,Yes,AS-IS
256698,Chevrolet,Silverado 1500,RST 4WD Crew Cab,2019,Gas V8 5.3L/325,Automatic,White,"141,516",3GCUYEED5KG256698,Power door locks|Power windows|Cruise control|Anti-lock braking system|Air conditioning|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,71,No,Yes,AS-IS
420097,Chevrolet,Silverado 1500,Z71,2021,Gas V8 5.3L/325,Automatic,Silver,"32,243",1GCUYEED7MZ420097,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,21,No,Yes,BOF
530539,Chevrolet,Silverado 1500,Work Truck,2022,Gas V8 5.3L/325,Automatic,White,"36,596",3GCNAAED0NG530539,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,52,No,Yes,BOF
555242,Chevrolet,Trax,LS AWD,2022,Turbocharged Gas 4-Cyl 1.4L/,Automatic,Black,"79,893",KL7CJNSM2NB555242,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,77,No,Yes,AS-IS
603621,Chevrolet,Silverado 1500,LTZ 4WD,2018,Gas V8 6.2L/376,Automatic,White,"132,443",3GCUKSEJ2JG603621,Power door locks|Power windows|Amplitude modulation and frequency modulation radio with compact disc player|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,55,No,Yes,AS-IS
188061,Dodge,Durango,SRT 392 AWD,2022,Premium Unleaded V-8 6.4 L/392,Automatic,Black,"39,649",1C4SDJGJ4NC188061,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,71,No,Yes,BOF
207211,Dodge,Challenger,Scat Pack,2022,Premium Unleaded V-8 6.4 L/392,Manual,Black,"5,820",2C3CDZFJ9NH207211,Power door locks|Power windows|Cruise control|Anti-lock braking system|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage|Floor console with storage,50,No,Yes,BOF
250033,Dodge,Challenger,R/T Scatpack Widebody RWD,2022,Premium Unleaded V-8 6.4 L/392,Automatic,Silver,"5,615",2C3CDZFJ6NH250033,Power door locks|Power windows|Cruise control|Anti-lock braking system|Power sliding sunroof|Electronic stability control|Tire pressure monitoring system|Rear view camera display|Front and rear cup holders|Power steering system|Power assisted braking system|Rear window defroster|Variable intermittent wipers|Interior dome lighting|Cargo area lighting|Front and rear reading lights|Tilt and telescopic steering wheel|Driver information display|Outside temperature display|Front center armrest with storage,769,No,Yes,BOF
